,gene,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,Subacute-log10(p_value),Subacute-log10(padj)
0,Gnai3,-0.0042488070049265,0.9813569492387442,0.9984847337103956,0.008172997830697777,0.0006585708694119499
2,Cdc45,0.0488523741631175,0.908633258451776,0.9915306140522956,0.0416113708696917,0.0036938721710079096
3,H19,-6.0602550010517096,0.000112669876447,0.010767530326557,3.9481921819269443,1.9678838963809822
6,Narf,-0.0418510614420649,0.8499978331894187,0.9864009291293862,0.0705821813857993,0.00594652733327435
7,Cav2,0.270667829821178,0.1966773240458439,0.7704295155086723,0.7062457092695607,0.11326708754369323
8,Klf6,0.0795390615864929,0.6674416381773812,0.9580081636905622,0.17558670348493813,0.018630790054381705
9,Scmh1,-0.2743366078020773,0.176924163967061,0.7493670739142578,0.7522128479219412,0.12530539308302144
10,Cox5a,0.3942336143136145,0.4033425321721858,0.8895500420038552,0.394325979545203,0.050829615477945116
11,Tbx2,-0.3906343149176688,0.3412821605747531,0.8653223973030939,0.46688641247269724,0.06282205521336338
12,Tbx4,0.2214829963697719,0.491818572953755,0.9159068924001958,0.3081950746639497,0.03814867280817497
14,Ngfr,-0.4653946086343591,0.6387573690033702,0.955226802383994,0.19466407660432977,0.01989350032257281
16,Wnt9a,-0.1088563635569444,0.8949939015154789,0.9893980957684074,0.048179923954701484,0.004628929830002894
17,Fer,0.0467138207348133,0.8340333786718753,0.9832377992961232,0.0788165682076681,0.0073414339151583385
18,Xpo6,-0.5774277350477729,0.0054177867271901,0.1543900112347233,2.266178095099736,0.8113808011892096
19,Tfe3,-0.162499619769097,0.4677347677360973,0.9075785546566154,0.330000346844255,0.04211577469138757
20,Axin2,0.146772688180361,0.577195592342378,0.9432106337230004,0.23867699398306894,0.02539131166488783
21,Brat1,0.1066655333482428,0.7672597062746112,0.974786149675392,0.11505760878751828,0.011090650150303414
22,Gna12,-0.5651110704077108,0.0052586068895889,0.1515039444494989,2.279129293925754,0.8195760600306438
23,Slc22a18,0.9229156022197896,0.1822921855510353,0.7539071250220883,0.7392319481569001,0.12268215224001747
24,Itgb2l,0.5034064582595239,0.4392833619725573,0.9008696265942449,0.35725524549485815,0.04533805535562132
25,Igsf5,0.3997839967275597,0.1914798428275766,0.7642504074792453,0.7178769376719367,0.11676432104683193
26,Pih1d2,-0.2768947095353998,0.7183945613669344,0.9665950774164788,0.1436369641710279,0.01475542092515787
27,Dlat,-0.2071340647905405,0.3060466196083699,0.8501266674079752,0.5142124130722905,0.07051636033529761
28,Sdhd,0.3825583631075916,0.0531749042051912,0.499646447007172,1.2742932838078254,0.3013371965162576
31,Ccnd2,0.001527546808784,0.9949274914080456,0.999916297992402,0.002208568730475336,3.635284144816451e-05
32,Gpr107,-0.1851026472069594,0.4221992416292843,0.8968475297230027,0.374482551124319,0.047281383743320395
33,Nalcn,-0.0101988543968916,0.9908810751644264,0.9998391924665904,0.003978466099113004,6.984344023447095e-05
40,Tspan32,0.0183259100434012,0.98607067328166,0.999278483976634,0.006091957354622904,0.000313463525634497
43,Gmpr,0.2914671793235759,0.3911412013439783,0.8838145282328077,0.4076664346899409,0.05363886373833108
44,Glra1,-0.1289682154175788,0.8761031210513892,0.9881537248865794,0.057444772521649326,0.005175487925828165
45,Mid2,0.1649556147238869,0.4409132185316269,0.9008696265942449,0.3556468808758996,0.04533805535562132
46,Trim25,-0.2807648119792819,0.2197438308211483,0.79301060567807,0.6580833086452798,0.10072100441422166
47,Dgke,-0.0484011172282953,0.8434295871288087,0.985394850471101,0.07395116819974613,0.006389711614416793
48,Scpep1,-0.1310615954681444,0.6362113576609576,0.955226802383994,0.19639858212357408,0.01989350032257281
49,Mnt,-0.2303059220117107,0.3799767686199938,0.8804550231341977,0.42024295487940244,0.05529282448209505
50,Itgb2,-1.369865893376227,0.023774975726111,0.3406573072784893,1.6238799177983898,0.46768229077951196
51,Hddc2,0.0110659891084893,0.9794598856460244,0.9984847337103956,0.009013346090198951,0.0006585708694119499
52,Tpd52l1,0.4931662565870002,0.0363230150867589,0.4226359431735508,1.4398181089066302,0.37403357103632817
53,Pemt,0.301925178465678,0.7440979883763827,0.9699612514878772,0.12836986954955507,0.013245614807079416
54,Cdh1,-1.6250236865088776,0.0205473936077904,0.3157248039361764,1.6872432596051112,0.5006912977737403
55,Cdh4,-0.3624057695280424,0.3652578928114517,0.876850840039789,0.4374003906779246,0.05707427762266371
