protein1,protein2,neighborhood,fusion,cooccurence,coexpression,experimental,database,textmining,combined_score,symbol1,symbol2
ENSMUSP00000000001,ENSMUSP00000027991,0.0,0.0,0.0,56.0,594.0,500.0,492.0,889.0,Gnai3,Rgs4
ENSMUSP00000000001,ENSMUSP00000075170,0.0,0.0,0.0,0.0,604.0,900.0,301.0,969.0,Gnai3,Drd2
ENSMUSP00000000001,ENSMUSP00000121127,0.0,0.0,0.0,151.0,639.0,650.0,310.0,916.0,Gnai3,Gnb4
ENSMUSP00000000001,ENSMUSP00000081569,0.0,0.0,0.0,90.0,271.0,900.0,425.0,956.0,Gnai3,Rgs3
ENSMUSP00000000001,ENSMUSP00000074259,0.0,0.0,47.0,0.0,0.0,900.0,50.0,901.0,Gnai3,Gnai1
ENSMUSP00000000001,ENSMUSP00000080162,0.0,0.0,0.0,0.0,175.0,900.0,126.0,921.0,Gnai3,Adrb3
ENSMUSP00000000001,ENSMUSP00000063136,0.0,0.0,0.0,0.0,491.0,650.0,44.0,814.0,Gnai3,Htr1f
ENSMUSP00000000001,ENSMUSP00000116426,0.0,0.0,0.0,69.0,0.0,900.0,251.0,924.0,Gnai3,Rapgef3
ENSMUSP00000000001,ENSMUSP00000035037,0.0,0.0,0.0,0.0,0.0,900.0,212.0,917.0,Gnai3,Pik3cb
ENSMUSP00000000001,ENSMUSP00000030834,0.0,0.0,0.0,0.0,66.0,900.0,77.0,906.0,Gnai3,Nos3
ENSMUSP00000000001,ENSMUSP00000023959,0.0,0.0,0.0,48.0,491.0,900.0,95.0,950.0,Gnai3,Grm2
ENSMUSP00000000001,ENSMUSP00000102512,0.0,0.0,0.0,0.0,491.0,650.0,202.0,845.0,Gnai3,Cxcr2
ENSMUSP00000000001,ENSMUSP00000077611,0.0,0.0,0.0,0.0,66.0,900.0,619.0,961.0,Gnai3,Rxfp1
ENSMUSP00000000001,ENSMUSP00000131648,0.0,0.0,0.0,0.0,253.0,650.0,330.0,809.0,Gnai3,Gng13
ENSMUSP00000000001,ENSMUSP00000149938,0.0,0.0,0.0,151.0,463.0,650.0,406.0,892.0,Gnai3,Gnb5
ENSMUSP00000000001,ENSMUSP00000053638,0.0,0.0,0.0,0.0,578.0,650.0,106.0,856.0,Gnai3,Aplnr
ENSMUSP00000000001,ENSMUSP00000022718,0.0,0.0,0.0,0.0,111.0,900.0,154.0,918.0,Gnai3,Ednrb
